expiry,T,strike,option_type,mid_price,open_interest,underlying_spot,moneyness,iv,delta,gamma,vega,theta,rho
2026-09-22,0.0273972602739726,24000.0,call,22.2,3257735,23398.1,1.025724310948325,0.11450743714937969,0.105420720740877,0.00041118291335409804,706.2152231608693,-1610.0432899884092,66.97108399897246
2026-09-22,0.0273972602739726,24250.0,call,9.35,238095,23398.1,1.0364089391873699,0.12327848093026897,0.047591889146145656,0.000207649467266396,383.9603832954915,-924.4845018556487,30.252322972028935
2026-09-22,0.0273972602739726,24600.0,call,4.4,626925,23398.1,1.051367418722033,0.14413345638698644,0.02145044940845987,9.20323242132167e-05,198.9635459434669,-550.679277018716,13.630130425974572
2026-09-29,0.04657534246575343,22800.0,call,745.4,224120,23398.1,0.9744380954009086,0.15827908801233254,0.8019998751444325,0.00034760729708071256,1402.909533157979,-3367.4243961912907,839.2817544348711
2026-09-29,0.04657534246575343,23000.0,call,571.45,774930,23398.1,0.9829857979921447,0.14401804383766934,0.741835487153275,0.00044387816840758587,1630.0387750923235,-3437.6844253092195,781.8179328795269
2026-09-29,0.04657534246575343,23700.0,call,131.75,1674725,23398.1,1.0129027570614708,0.11498678117396724,0.34405584865908223,0.0006337042666819337,1858.0260155405601,-2727.778926734689,368.8070034834589
2026-09-29,0.04657534246575343,25200.0,call,6.1,532805,23398.1,1.0770105264957412,0.16117926376589903,0.020577074807979736,6.093713250600549e-05,250.4427269972798,-459.42679960759773,22.140262638885947
2026-09-29,0.04657534246575343,25600.0,call,4.4,133445,23398.1,1.0941059316782134,0.1821603393878175,0.013793217344475013,3.829975433174648e-05,177.89635816220357,-365.34873107590084,14.826565355854681
2026-09-29,0.04657534246575343,26200.0,call,2.65,181220,23398.1,1.1197490394519214,0.2094796305522636,0.007701824272237262,2.0039900139787112e-05,107.04209361698213,-250.4581769223513,8.269827228151957
2026-10-06,0.06575342465753424,24100.0,call,69.65,40300,23398.1,1.029998162243943,0.11307246223337801,0.18925795982680654,0.0003989352609771815,1623.8235529973608,-1635.2269352356786,286.59463019580846
2026-10-06,0.06575342465753424,24200.0,call,55.15,36985,23398.1,1.0342720135395609,0.11432758234918104,0.15580130200034967,0.00034849074721148465,1434.240011738785,-1443.7947332578801,236.07481277567328
2026-10-06,0.06575342465753424,24500.0,call,28.0,103285,23398.1,1.047093567426415,0.1197035933007193,0.08590520765708812,0.00021835390516401656,940.9091970885278,-965.1899302582009,130.3245156989207
2026-10-27,0.1232876712328767,26000.0,call,12.0,1098240,23398.1,1.1112013368606852,0.14401075937865299,0.027027241925566218,5.271682886583135e-05,512.418797603325,-333.27617351563555,76.4859590173187
2026-10-27,0.1232876712328767,24500.0,call,77.9,1626690,23398.1,1.047093567426415,0.11174819077719363,0.16324718061370075,0.0002683999926056984,2024.4349896974986,-1122.49452039296,461.3145940796891
2026-10-27,0.1232876712328767,24200.0,call,133.7,430560,23398.1,1.0342720135395609,0.11088852632650371,0.250529364322979,0.00034900374288793847,2612.1465057098126,-1488.4349773534043,706.217808688061
2026-10-27,0.1232876712328767,23900.0,call,228.0,247195,23398.1,1.021450459652707,0.11332361817115384,0.36532018943703953,0.0004035110138379578,3086.4316245550813,-1873.8027255753923,1025.7285602415109
2026-10-13,0.08493150684931507,23300.0,call,559.62,2210,23398.1,0.9958073518789988,0.1658776851113757,0.5817787157404211,0.000344881253151134,2660.0363337606445,-3309.939634243859,1108.6021766212932
