expiry,T,strike,option_type,mid_price,bid,ask,volume,open_interest,yahoo_iv,moneyness,iv,delta,gamma,vega,theta,rho
2026-09-14,0.005479452054794521,745.0,call,19.515,19.44,19.59,122.0,556,0.178719150390625,0.9747609172147831,0.1679619003230519,0.9812147581646611,0.004831134809294916,2.597247857952513,-68.38802180370423,4.002288254661248
2026-09-14,0.005479452054794521,750.0,call,14.56,14.49,14.63,828.0,1133,0.14527221923828126,0.9813029367934057,0.14203022008503538,0.9656862279871795,0.00946108690539803,4.30105753954995,-84.05353782184753,3.964407151185477
2026-09-14,0.005479452054794521,755.0,call,9.705,9.64,9.77,552.0,1101,0.1157314990234375,0.9878449563720285,0.12073932340841237,0.9187620459138355,0.022017795271759562,8.508951101197038,-120.84441069919629,3.7944965761892826
2026-09-14,0.005479452054794521,760.0,call,5.165,5.13,5.2,4110.0,2780,0.09021905883789064,0.9943869759506512,0.10128211863268788,0.7832261361247098,0.0512358560904027,16.609640603898118,-176.72776489965963,3.2517637618263553
2026-09-14,0.005479452054794521,765.0,call,1.64,1.63,1.65,85046.0,6907,0.0717866259765625,1.000928995529274,0.08417544159010727,0.45561053578690586,0.0832527095246103,22.430411501780746,-185.84981330350828,1.899060637760369
2026-09-14,0.005479452054794521,770.0,call,0.225,0.22,0.23,29884.0,4915,0.06556110229492187,1.0074710151078965,0.07818276836025012,0.10634883944871126,0.041490566971894786,10.382785324587912,-77.24436976874134,0.4441443954257515
2026-09-15,0.00821917808219178,755.0,call,10.135,10.01,10.26,3770.0,515,0.12659564819335936,0.9878449563720285,0.12636103572566182,0.8646250308594219,0.02484489579743483,15.07283956160743,-141.32583100023817,5.3481307877984845
2026-09-15,0.00821917808219178,760.0,call,5.8149999999999995,5.71,5.92,710.0,1174,0.10511148803710937,0.9943869759506512,0.10964950860128894,0.7269318715967032,0.04376506939944748,23.039817308102965,-175.1961015741516,4.518671869889316
2026-09-15,0.00821917808219178,765.0,call,2.4000000000000004,2.39,2.41,10295.0,2476,0.08612974426269533,1.000928995529274,0.09495037225015306,0.4736076042013663,0.060504723004293805,27.58231212175869,-173.38962057716407,2.9553990347615864
2026-09-15,0.00821917808219178,770.0,call,0.585,0.58,0.59,7420.0,4789,0.07679145874023438,1.0074710151078965,0.08594655538942048,0.18138910584224832,0.044274778891748724,18.269623452230437,-100.92303420065548,1.1346482874493913
2026-09-15,0.00821917808219178,775.0,call,0.08499999999999999,0.08,0.09,3553.0,3199,0.07471628417968751,1.0140130346865193,0.08367120353376267,0.036863431037017017,0.013906488975296899,5.5864797862089235,-29.534308470168618,0.23087137719230383
2026-09-16,0.010958904109589041,760.0,call,6.880000000000001,6.82,6.94,770.0,1121,0.1256190954589844,0.9943869759506512,0.1311084878310983,0.6730027531288253,0.034396354156756286,28.86866340174123,-192.5453407090183,5.561526130444684
2026-09-16,0.010958904109589041,765.0,call,3.585,3.57,3.6,3573.0,1822,0.11048252807617187,1.000928995529274,0.11817422237410996,0.4863546006989655,0.04216881943390042,31.90051191000136,-186.4029192023433,4.034311751255357
2026-09-16,0.010958904109589041,770.0,call,1.415,1.41,1.42,3515.0,2774,0.09974044799804688,1.0074710151078965,0.10801300808418403,0.2693797310407195,0.03821593921345279,26.424334296225712,-138.2224710623944,2.24075867086974
2026-09-16,0.010958904109589041,775.0,call,0.405,0.4,0.41,4499.0,1801,0.09363699340820314,1.0140130346865193,0.10204115248284552,0.10433591714894747,0.022170033551720057,14.481887248548214,-70.52676566254205,0.8694563925973265
2026-09-17,0.0136986301369863,755.0,call,11.530000000000001,11.35,11.71,1170.0,782,0.15302360656738284,0.9878449563720285,0.150605601988468,0.7682255388789745,0.022635829734565783,27.2791613395607,-172.48029657769416,7.88516541453436
2026-09-17,0.0136986301369863,760.0,call,7.609999999999999,7.51,7.71,472.0,1508,0.1356897955322266,0.9943869759506512,0.13795333110421212,0.6516902682818403,0.029962085101761786,33.07483561602958,-185.73371184132642,6.718771807557947
2026-09-17,0.0136986301369863,765.0,call,4.3149999999999995,4.3,4.33,1753.0,1560,0.11957667541503905,1.000928995529274,0.12504910268663547,0.49222023662072084,0.03565744018792005,35.67994790504567,-177.40553071073083,5.094301285582293
2026-09-17,0.0136986301369863,770.0,call,1.995,1.99,2.0,3512.0,1768,0.10852942260742188,1.0074710151078965,0.11483669985949485,0.30601218643064976,0.0341487020760695,31.37967017901389,-140.6028688756148,3.1765348968731097
2026-09-17,0.0136986301369863,775.0,call,0.715,0.71,0.72,3708.0,2568,0.1010832080078125,1.0140130346865193,0.10756030722196852,0.14536571390504044,0.02372874535785637,20.42303489099819,-84.49926474409786,1.5121446287034115
2026-09-17,0.0136986301369863,780.0,call,0.215,0.21,0.22,873.0,2416,0.09839768798828125,1.020555054265142,0.10507110901434531,0.05427115956409861,0.011711348859582901,9.846541229428752,-39.37708234504941,0.5652589534614405
2026-09-18,0.01643835616438356,675.0,call,89.725,87.8,91.65,1.0,5476,0.6423375610351563,0.8831726431140652,0.2706488315136469,0.9998504543326362,2.1771216302598996e-05,0.05658008097000127,-26.857036437531296,11.08686052228936
2026-09-18,0.01643835616438356,695.0,call,69.745,67.84,71.65,27.0,8591,0.5240526110839843,0.909340721428556,0.24685000526963202,0.9988128847150654,0.00016289927326564285,0.38612418371566876,-30.04120025585851,11.402263195501382
2026-09-18,0.01643835616438356,700.0,call,64.775,62.85,66.7,524.0,8622,0.49707534179687507,0.9158827410071787,0.2642948749068811,0.9957176186788469,0.0004862294580262942,1.2339703484113331,-37.163799599709826,11.445073922337354
2026-09-18,0.01643835616438356,705.0,call,59.769999999999996,57.86,61.68,11.0,8448,0.46594772338867196,0.9224247605858015,0.2382701915056245,0.9963144419665645,0.0004715039636694315,1.0787722776092903,-35.275922747711,11.534846185666913
2026-09-18,0.01643835616438356,710.0,call,54.790000000000006,52.88,56.7,32.0,6302,0.4368952795410156,0.9289667801644241,0.23164023898056127,0.99408993296052,0.0007391036697766619,1.6439707209162375,-39.1689483494718,11.588761202141251
2026-09-18,0.01643835616438356,715.0,call,49.834999999999994,47.91,51.76,23.0,12716,0.4093686993408203,0.9355087997430468,0.23045754088115603,0.9890683629368052,0.0012754645702358152,2.822500569688188,-47.414719152803784,11.607123901284453
2026-09-18,0.01643835616438356,720.0,call,44.864999999999995,42.94,46.79,8.0,16955,0.379889013671875,0.9420508193216696,0.21752187217262198,0.9852783642373828,0.0017482947157646787,3.6516764688440007,-51.87137661174832,11.64120623590126
2026-09-18,0.01643835616438356,725.0,call,39.915000000000006,37.99,41.84,65.0,17437,0.3508365698242187,0.9485928389002922,0.20635946485412432,0.9789358397939216,0.002501907346860463,4.957586847240049,-58.83245263231835,11.64289071239904
2026-09-18,0.01643835616438356,730.0,call,34.989999999999995,33.07,36.91,156.0,29971,0.3218451605224609,0.955134858478915,0.19541692325943938,0.9692783674705753,0.003623940866893686,6.800142119471132,-68.03830562505091,11.602516302988962
2026-09-18,0.01643835616438356,735.0,call,30.05,28.17,31.93,65.0,12738,0.2899851275634765,0.9616768780575377,0.17850045070626483,0.9596819806297169,0.00495840930506673,8.49877646322702,-73.66819448811373,11.563155943342679
2026-09-18,0.01643835616438356,740.0,call,25.22,23.34,27.1,465.0,12636,0.26270268554687504,0.9682188976361604,0.16886710230918525,0.9372709571449334,0.007453398184524567,12.085763456073332,-89.12079795643655,11.360988482403577
2026-09-18,0.01643835616438356,750.0,call,15.344999999999999,14.69,16.0,545.0,34756,0.15546498840332032,0.9813029367934057,0.12035470208682532,0.8984078456418558,0.015053072824124051,17.396542421334427,-89.9530036072677,11.03505390583631
2026-09-18,0.01643835616438356,755.0,call,11.585,11.35,11.82,975.0,18107,0.1448449774169922,0.9878449563720285,0.1372550029612677,0.7704405346897361,0.022552192285614853,29.722933157912255,-146.67646879195792,9.489123064079061
2026-09-18,0.01643835616438356,758.0,call,9.17,8.98,9.36,1354.0,2144,0.13477427734375003,0.9917701681192022,0.13047735683799674,0.7056796918589374,0.026957401286158186,33.77441920169548,-154.78577971660778,8.715187676124096
2026-09-18,0.01643835616438356,760.0,call,7.705,7.57,7.84,7191.0,24775,0.12885392639160154,0.9943869759506512,0.12710389429332486,0.6528498119444303,0.029649765421302744,36.187187796915154,-159.12551239497787,8.075532652879586
